attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification
29,53,590925,152959,44413,11776,44413,16156,5415,976773,1
29,53,1389171,45030,12614,16214,12614,13543,3208,208616,1
41,41,199093,27765,4321,2000,4321,1707,200,54072,1
47,48,113377,5616,947,861,947,394,67,12744,1
38,47,176667,36132,4226,6315,4226,1595,280,54447,1
27,40,647639,167046,1496,27262,1496,14301,1686,206041,1
30,41,604971,153084,26257,25372,26257,13662,3320,208747,1
53,50,1178721,12439,16583,14362,16583,15639,2303,209526,1
54,51,691339,124258,34004,13420,34004,7468,2089,200180,1
57,64,161310,10012,10448,5622,10448,2181,379,57165,1
41,60,110372,50122,5763,1423,5763,883,409,56245,1
13,48,455245,55938,5729,4545,5729,1770,469,49677,1
17,48,230772,22785,7039,2329,7039,2123,750,52111,1
8,40,97996,20206,5616,3196,5616,982,472,48769,1
30,48,99425,8005,4210,795,4210,1927,251,51311,1
41,54,302497,28669,4524,7600,4524,2462,1396,53604,1
41,60,1704935,179195,87642,27846,87642,19613,5428,816838,1
47,54,1392880,320400,47733,25180,47733,20676,4607,836453,1
29,47,66035,37767,3715,1856,3715,1446,655,55616,1
41,47,470146,4986,420,2263,420,1362,1104,46174,1
29,35,1080911,179098,18742,11927,18742,4195,3713,198644,1
26,29,232667,154051,7552,8678,7552,6216,4830,176861,1
29,44,382401,64500,8056,9708,8056,5050,3341,171214,1
29,47,169738,17045,1546,2406,1546,469,1101,51345,1
40,61,141428,8027,4259,4010,4259,1651,549,47515,1
24,47,747559,202573,38890,16740,38890,8414,5394,191619,1
51,56,332931,40375,16231,4447,16231,4278,5678,3036,0
47,56,463652,132288,39125,36172,39125,12902,10621,8779,0
38,53,370448,420927,37992,44298,37992,22372,12329,15234,0
23,50,473407,62447,20902,6076,20902,5132,1568,3028,0
27,50,130447,71157,6644,39293,6644,15840,11601,12146,0
38,50,25200,24985,27346,12037,27346,13825,7563,4101,0
44,54,205480,37541,12887,2675,12887,4312,2349,1642,0
54,48,455385,184692,16474,24717,16474,45596,27672,12070,0
48,37,761455,121583,20181,431,20181,7995,5738,5706,0
41,20,61848,9927,1130,351,1130,1237,452,520,0
48,16,108122,106628,4543,36116,4543,25437,8146,11986,0
38,44,1182181,50808,44894,127479,44894,14077,32981,17226,0
50,50,341326,30663,2600,11713,2600,9216,2480,4246,0
51,69,439291,285643,57007,225892,57007,72109,28037,20438,0
50,56,275306,101604,2917,6676,2917,17501,15253,2985,0
61,48,326595,30223,9539,56758,9539,21645,28542,5980,0
51,54,2239350,586482,34334,330377,34334,53530,55783,29740,0
53,53,892609,77699,36204,11433,36204,21546,4164,3805,0
57,70,8298,23870,6342,11156,6342,9368,4751,2425,0
48,44,1310405,496613,29241,27665,29241,44118,36922,16975,0
48,23,1715196,224422,63583,31827,63583,26046,20894,17342,0
44,24,255826,66352,17166,20049,17166,15574,12952,5688,0
47,27,507133,276875,14585,33934,14585,28504,25722,18168,0
53,40,359803,62172,8538,16289,8538,22668,7255,9210,0
50,38,824929,104274,29338,6073,29338,7990,6542,2858,0
